value,datetime,Wind,Nuclear,Coal,Int. exchanges,Solar PV,Hydro,day_period,weekday_type,season
85.4,2023-04-01 00:00:00,13683,5602,446,-4006,5,1755,Night,Weekend,Spring
77.36,2023-04-01 01:00:00,13550,5615,449,-2922,5,1508,Night,Weekend,Spring
74.18,2023-04-01 02:00:00,13348,5605,447,-2897,5,1515,Night,Weekend,Spring
73.09,2023-04-01 03:00:00,12184,5611,445,-2413,5,1661,Night,Weekend,Spring
76.72,2023-04-01 04:00:00,11766,5601,448,-2879,5,1556,Night,Weekend,Spring
94.93,2023-04-01 05:00:00,10907,5607,466,-2981,5,1410,Night,Weekend,Spring
104.37,2023-04-01 06:00:00,10552,5604,456,-2753,4,1411,Morning,Weekend,Spring
91.62,2023-04-01 07:00:00,10285,5609,444,-2435,5,1530,Morning,Weekend,Spring
70.54,2023-04-01 08:00:00,10031,5608,447,-2405,17,1959,Morning,Weekend,Spring
52.24,2023-04-01 09:00:00,9394,5615,472,-1498,1890,1942,Morning,Weekend,Spring
47.38,2023-04-01 10:00:00,8757,5614,493,-2998,6213,1986,Morning,Weekend,Spring
45.43,2023-04-01 11:00:00,9675,5612,455,-4313,9556,1108,Morning,Weekend,Spring
39.75,2023-04-01 12:00:00,9512,5623,489,-5034,10722,783,Afternoon,Weekend,Spring
32.55,2023-04-01 13:00:00,9255,5617,521,-4305,10679,712,Afternoon,Weekend,Spring
33.36,2023-04-01 14:00:00,9738,5618,486,-4921,10666,636,Afternoon,Weekend,Spring
35.93,2023-04-01 15:00:00,9522,5609,500,-4651,10240,584,Afternoon,Weekend,Spring
36.51,2023-04-01 16:00:00,8655,5612,478,-4757,10042,780,Afternoon,Weekend,Spring
51.74,2023-04-01 17:00:00,9877,5606,453,-4349,8837,645,Afternoon,Weekend,Spring
65.53,2023-04-01 18:00:00,11835,5608,474,-4192,6629,882,Evening,Weekend,Spring
79.73,2023-04-01 19:00:00,14367,5603,443,-4825,4812,1101,Evening,Weekend,Spring
66.26,2023-04-01 20:00:00,16920,5609,447,-4417,1233,1357,Evening,Weekend,Spring
63.98,2023-04-01 21:00:00,16663,5605,478,-4219,127,1896,Evening,Weekend,Spring
53.61,2023-04-01 22:00:00,15230,5613,474,-3813,118,1703,Evening,Weekend,Spring
54.09,2023-04-01 23:00:00,15669,5618,480,-3906,116,1570,Evening,Weekend,Spring
55.2,2023-04-02 00:00:00,15409,5618,442,-4461,16,1206,Night,Weekend,Spring
