Generation mix (MW)

Hour,Wind,Nuclear,Coal,Combined cycle,Int. exchanges,Solar PV,Solar thermal,Thermal renewable,Diesel engines,Gas turbine,Vapor turbine,Auxiliary generation,Cogeneration and waste,Exportation Andorra,Exportation Morocco,Exportation Portugal,Exportation France,Importation France,Importation Portugal,Importation Morocco,Importation Andorra,Hydro
"2020-02-23 21:00","2352","7087","1194","5633","3416","47","523","529","321","142","254","0","3428","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:05","2366","7085","1187","5650","3202","47","523","528","318","142","253","0","3426","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:10","2376","7093","1187","5654","3255","46","523","528","320","142","253","0","3426","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:15","2375","7087","1189","5620","3271","47","522","528","316","142","253","0","3426","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:20","2366","7085","1191","5534","3424","44","522","528","318","141","256","0","3426","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:25","2398","7092","1190","5479","3602","44","516","528","313","141","257","0","3424","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:30","2394","7092","1190","5484","3528","44","505","528","312","141","257","0","3425","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:35","2410","7093","1191","5493","3517","44","492","528","313","141","257","0","3425","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:40","2390","7088","1189","5409","3510","44","491","528","313","141","257","0","3424","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:45","2405","7087","1192","5441","3442","44","490","528","318","135","256","0","3425","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:50","2438","7095","1192","5364","3482","44","491","528","314","127","256","0","3425","0","0","0","0","0","0","0","0","0"
"2020-02-23 21:55","2439","7097","1189","5428","3269","44","488","528","308","125","256","0","3425","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:00","2444","7099","1184","5498","3078","44","478","528","314","124","256","0","3424","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:05","2484","7098","1188","5789","2780","44","476","526","318","93","260","0","3396","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:10","2465","7096","1188","5944","2698","44","474","526","315","88","268","0","3397","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:15","2475","7095","1189","5857","2619","44","456","526","314","88","272","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:20","2487","7091","1187","5790","2601","44","446","526","313","87","271","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:25","2465","7091","1188","5571","2751","44","434","526","310","85","271","0","3399","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:30","2489","7084","1185","5555","2539","44","429","526","305","82","270","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:35","2479","7093","1185","5524","2550","44","413","526","303","81","269","0","3399","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:40","2465","7092","1185","5442","2742","44","398","526","309","77","269","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:45","2452","7098","1183","5405","2716","44","390","526","310","72","266","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:50","2465","7097","1188","5377","2523","44","386","526","306","58","265","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 22:55","2472","7097","1185","5333","2677","44","383","526","305","58","263","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:00","2456","7094","1187","5381","2230","44","382","526","306","59","260","0","3398","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:05","2478","7091","1170","5451","2244","44","379","526","303","56","259","0","3404","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:10","2493","7092","1168","5441","2087","44","372","526","299","48","259","0","3405","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:15","2477","7093","1154","5368","2047","44","353","526","294","37","259","0","3404","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:20","2453","7085","1145","5169","2215","44","329","526","294","28","262","0","3405","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:25","2484","7080","1137","5117","2287","45","315","526","289","28","259","0","3405","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:30","2492","7103","1123","4999","2263","44","299","526","286","28","255","0","3405","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:35","2487","7092","1123","4919","2242","45","279","526","285","28","253","0","3405","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:40","2462","7095","1115","4951","2202","44","264","526","279","18","245","0","3405","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:45","2468","7089","1101","4907","2156","45","254","526","278","11","237","0","3404","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:50","2454","7086","1078","4689","2179","45","220","526","276","11","229","0","3403","0","0","0","0","0","0","0","0","0"
"2020-02-23 23:55","2414","7092","1072","4515","2309","45","187","526","272","11","220","0","3404","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:00","2403","7092","1052","4645","1830","44","160","526","270","10","216","0","3404","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:05","2388","7088","1041","4851","1020","45","136","533","265","10","211","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:10","2367","7093","1029","4924","963","45","132","533","253","10","208","0","3516","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:15","2330","7097","1024","4922","1080","44","128","533","253","10","205","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:20","2315","7093","1023","4947","982","45","121","533","252","12","199","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:25","2307","7096","1017","4914","912","45","109","533","249","9","192","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:30","2279","7092","1011","4805","1015","45","109","533","253","3","182","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:35","2269","7095","1006","4846","897","45","110","533","252","0","174","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:40","2269","7094","998","4783","931","45","110","533","252","0","165","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:45","2259","7099","994","4744","995","44","106","533","249","0","157","0","3516","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:50","2229","7093","999","4689","813","45","101","533","246","0","150","0","3515","0","0","0","0","0","0","0","0","0"
"2020-02-24 00:55","2206","7092","1006","4646","889","45","91","533","244","0","145","0","3516","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:00","2182","7096","1008","4640","818","45","85","533","243","0","142","0","3510","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:05","2135","7091","1004","4870","414","45","85","528","241","0","139","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:10","2090","7089","998","4875","443","45","84","528","239","0","138","0","3488","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:15","2073","7095","1000","5042","472","44","84","528","243","0","136","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:20","2049","7099","1000","4931","566","45","84","528","238","0","135","0","3490","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:25","2012","7091","1002","4959","390","45","82","528","239","0","133","0","3490","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:30","2004","7100","998","5054","194","44","84","528","236","0","131","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:35","1982","7093","1005","5064","0","45","83","528","232","0","129","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:40","1961","7090","1006","4838","53","45","81","528","232","0","125","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:45","1950","7096","998","4854","168","45","78","528","235","0","123","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:50","1963","7097","995","4767","40","44","71","528","233","0","123","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 01:55","1949","7093","991","4699","313","45","32","528","228","0","122","0","3489","0","0","0","0","0","0","0","0","0"
"2020-02-24 02:00","1940","7095","997","4723","44","45","32","528","231","0","123","0","3477","0","0","0","0","0","0","0","0","0"
"2020-02-24 02:05","1939","7093","998","4776","-148","45","32","529","231","0","122","0","3494","0","0","0","0","0","0","0","0","0"
