value,percentage,datetime
41.88,1.0,2020-01-01T00:00:00.000+01:00
38.6,1.0,2020-01-01T01:00:00.000+01:00
36.55,1.0,2020-01-01T02:00:00.000+01:00
32.32,1.0,2020-01-01T03:00:00.000+01:00
30.85,1.0,2020-01-01T04:00:00.000+01:00
30.14,1.0,2020-01-01T05:00:00.000+01:00
30.17,1.0,2020-01-01T06:00:00.000+01:00
30.0,1.0,2020-01-01T07:00:00.000+01:00
30.65,1.0,2020-01-01T08:00:00.000+01:00
30.65,1.0,2020-01-01T09:00:00.000+01:00
30.27,1.0,2020-01-01T10:00:00.000+01:00
30.34,1.0,2020-01-01T11:00:00.000+01:00
30.99,1.0,2020-01-01T12:00:00.000+01:00
30.04,1.0,2020-01-01T13:00:00.000+01:00
30.75,1.0,2020-01-01T14:00:00.000+01:00
32.11,1.0,2020-01-01T15:00:00.000+01:00
35.98,1.0,2020-01-01T16:00:00.000+01:00
40.4,1.0,2020-01-01T17:00:00.000+01:00
44.05,1.0,2020-01-01T18:00:00.000+01:00
46.16,1.0,2020-01-01T19:00:00.000+01:00
44.02,1.0,2020-01-01T20:00:00.000+01:00
45.6,1.0,2020-01-01T21:00:00.000+01:00
42.9,1.0,2020-01-01T22:00:00.000+01:00
37.55,1.0,2020-01-01T23:00:00.000+01:00
35.4,1.0,2020-01-02T00:00:00.000+01:00
31.98,1.0,2020-01-02T01:00:00.000+01:00
30.5,1.0,2020-01-02T02:00:00.000+01:00
28.79,1.0,2020-01-02T03:00:00.000+01:00
28.42,1.0,2020-01-02T04:00:00.000+01:00
28.75,1.0,2020-01-02T05:00:00.000+01:00
34.16,1.0,2020-01-02T06:00:00.000+01:00
42.07,1.0,2020-01-02T07:00:00.000+01:00
44.89,1.0,2020-01-02T08:00:00.000+01:00
45.26,1.0,2020-01-02T09:00:00.000+01:00
45.57,1.0,2020-01-02T10:00:00.000+01:00
45.09,1.0,2020-01-02T11:00:00.000+01:00
45.16,1.0,2020-01-02T12:00:00.000+01:00
44.9,1.0,2020-01-02T13:00:00.000+01:00
44.06,1.0,2020-01-02T14:00:00.000+01:00
43.94,1.0,2020-01-02T15:00:00.000+01:00
44.37,1.0,2020-01-02T16:00:00.000+01:00
46.05,1.0,2020-01-02T17:00:00.000+01:00
46.72,1.0,2020-01-02T18:00:00.000+01:00
46.11,1.0,2020-01-02T19:00:00.000+01:00
43.7,1.0,2020-01-02T20:00:00.000+01:00
42.0,1.0,2020-01-02T21:00:00.000+01:00
38.6,1.0,2020-01-02T22:00:00.000+01:00
33.39,1.0,2020-01-02T23:00:00.000+01:00
32.05,1.0,2020-01-03T00:00:00.000+01:00
30.75,1.0,2020-01-03T01:00:00.000+01:00
29.97,1.0,2020-01-03T02:00:00.000+01:00
29.8,1.0,2020-01-03T03:00:00.000+01:00
29.74,1.0,2020-01-03T04:00:00.000+01:00
29.87,1.0,2020-01-03T05:00:00.000+01:00
31.21,1.0,2020-01-03T06:00:00.000+01:00
36.73,1.0,2020-01-03T07:00:00.000+01:00
42.9,1.0,2020-01-03T08:00:00.000+01:00
46.0,1.0,2020-01-03T09:00:00.000+01:00
47.23,1.0,2020-01-03T10:00:00.000+01:00
46.03,1.0,2020-01-03T11:00:00.000+01:00
44.9,1.0,2020-01-03T12:00:00.000+01:00
44.44,1.0,2020-01-03T13:00:00.000+01:00
41.19,1.0,2020-01-03T14:00:00.000+01:00
39.5,1.0,2020-01-03T15:00:00.000+01:00
39.5,1.0,2020-01-03T16:00:00.000+01:00
43.51,1.0,2020-01-03T17:00:00.000+01:00
45.2,1.0,2020-01-03T18:00:00.000+01:00
46.9,1.0,2020-01-03T19:00:00.000+01:00
46.23,1.0,2020-01-03T20:00:00.000+01:00
44.5,1.0,2020-01-03T21:00:00.000+01:00
